User,Message
Taylor,"Hello, Binay! I'm here to assist you."

Binay,"Hi, Can I know something more about the transportation system."
Taylor,"There are buses running every 30 minutes around campus and to nearby areas. You can use the student bus pass to travel, Binay."

Binay,"Yeah nice, can you tell me something more about the cafeteria, or maybe smething about coffee."
Taylor,"The coffee bar serves freshly brewed coffee, Binay. You should definitely try their specialty drinks!"

Binay,"& ""C:/Users/Binay Ghimire/AppData/Local/Programs/Python/Python313/python.exe"" ""c:/Users/Binay Ghimire/OneDrive - iTechno/Documents/TBC'/Level 4/Fundamentals of Computer Programming/Project_Work/Project 2/final_task.py"""
Taylor,"Sorry, I didn't quite catch that. Could you please rephrase?"

Ramesh,"Hi, can you tell me something more about tuition and all?"
Chris,"Tuition rates vary depending on your course of study, Ramesh. Please visit our tuition page for detailed information on fees and scholarships."

Ramesh,"& ""C:/Users/Binay Ghimire/AppData/Local/Programs/Python/Python313/python.exe"" ""c:/Users/Binay Ghimire/OneDrive - iTechno/Documents/TBC'/Level 4/Fundamentals of Computer Programming/Project_Work/Project 2/final_task.py"""
Chris,"Sorry, I didn't quite catch that. Could you please rephrase?"

ram,exit
Alex,"Goodbye, ram! Have a great day!"

2024-12-26 22:46:21,ramesh,exit
2024-12-26 22:46:21,Taylor,"Goodbye, ramesh! Have a great day!"

2024-12-27 18:38:23,Cristiano Ronaldo,"Hi again, can you tell me something more about the transportation system of this college."
2024-12-27 18:38:23,Jordan,"We offer a student bus pass that will give you access to local transportation, Cristiano Ronaldo. It's valid for both on-campus and off-campus routes."

2024-12-27 18:38:42,Cristiano Ronaldo,and then what about the tuition and other things?
2024-12-27 18:38:42,Jordan,"For detailed tuition and fees, visit the student finance section on our website, Cristiano Ronaldo. Scholarships are also available for eligible students."

2024-12-27 18:39:48,Cristiano Ronaldo,"Alright Alright, can you tell me something more about the cafeteria of this college or maybe some place where I can get my coffee."
2024-12-27 18:39:48,Jordan,"The campus coffee bar is open from 8 AM to 4 PM, Cristiano Ronaldo. It's a great spot to relax or get a quick pick-me-up."

2024-12-27 18:40:13,Cristiano Ronaldo,"Yeah, thank you. Nice to talk to you.Bye Jordan."
2024-12-27 18:40:13,Jordan,"Sorry, I didn't quite catch that. Could you please rephrase?"

2024-12-27 18:40:15,Cristiano Ronaldo,Bye
2024-12-27 18:40:15,Jordan,"Sorry, I didn't quite catch that. Could you please rephrase?"

2024-12-27 18:40:18,Cristiano Ronaldo,Exit
2024-12-27 18:40:18,Jordan,"Sorry, I didn't quite catch that. Could you please rephrase?"

2024-12-27 18:40:21,Cristiano Ronaldo,Ok
2024-12-27 18:40:21,Jordan,"Sorry, I didn't quite catch that. Could you please rephrase?"

2024-12-27 18:40:23,Cristiano Ronaldo,La
2024-12-27 18:40:23,Jordan,"Sorry, I didn't quite catch that. Could you please rephrase?"

2025-01-15 11:30:05,Cristiano Ronaldo,I want to know about the cafeteria of this college
2025-01-15 11:30:05,Chris,"Sorry, I didn't quite catch that. Could you please rephrase?"

2025-01-15 11:30:12,Cristiano Ronaldo,coffee and all?
2025-01-15 11:30:12,Chris,"The coffee bar serves freshly brewed coffee, Cristiano Ronaldo. You should definitely try their specialty drinks!"

2025-01-15 11:30:25,Cristiano Ronaldo,"Sure, and what about the transportation?"
2025-01-15 11:30:25,Chris,"For local transportation, Cristiano Ronaldo, you can use the student bus pass that gives you unlimited access to all city routes."

2025-01-15 11:30:41,Cristiano Ronaldo,"Sure, and what about the admissions and all?>"
2025-01-15 11:30:41,Chris,"Admissions are open for the fall semester, Cristiano Ronaldo. Please visit our website to see the application process and requirements."

2025-01-15 11:31:08,Cristiano Ronaldo,Can you please give me the link of university website. it would be much easier
2025-01-15 11:31:08,Chris,"Sorry, I didn't quite catch that. Could you please rephrase?"

